name,author,created
"Store Of The Month October 2018","KEELEY","WEDNESDAY, OCTOBER 3, 2018"
"Store Of The Month August 2018","MATTHEW","THURSDAY, AUGUST 2, 2018"
"Google Now Mark Sites Without Https As Insecure","MATTHEW","WEDNESDAY, JULY 25, 2018"
"Store Of The Month July 2018","MATTHEW","WEDNESDAY, JULY 18, 2018"
"Facebook Blueprint","EMMA","FRIDAY, JULY 13, 2018"
"Pendle Pub Walk 2018","MATTHEW","FRIDAY, JUNE 22, 2018"
"Store Of The Month June 2018","MATTHEW","FRIDAY, JUNE 1, 2018"
"How G-Suite Calendar Can Benefit Your Business","MATTHEW","THURSDAY, MAY 31, 2018"
"GDPR And Electronic Marketing","KEELEY","WEDNESDAY, MAY 23, 2018"
"Gone And Still Forgotten","TODD","TUESDAY, MAY 22, 2018"
